K,strategy,rep,spearman
100,random,32,0.9160839160839163
100,random,33,0.7622377622377624
100,random,34,0.8951048951048951
100,random,35,0.7062937062937064
100,random,36,0.9020979020979022
100,random,37,0.8881118881118882
100,random,38,0.44055944055944063
100,random,39,0.9370629370629372
100,random,40,0.6923076923076924
100,random,41,0.8391608391608393
100,random,42,0.7342657342657343
100,random,43,0.5664335664335665
100,random,44,0.39860139860139865
100,random,45,0.8321678321678322
100,random,46,0.8671328671328673
100,random,47,0.3706293706293707
100,random,48,0.5314685314685316
100,random,49,0.7342657342657343
100,random,50,0.4545454545454546
100,random,51,0.8881118881118882
100,random,52,0.8671328671328673
100,random,53,0.7832167832167832
100,random,54,0.8321678321678322
100,random,55,0.9020979020979022
100,random,56,0.4125874125874127
100,random,57,0.7762237762237763
100,random,58,0.9370629370629372
100,random,59,0.7202797202797203
100,random,60,0.5524475524475525
100,random,61,0.5244755244755246
100,random,62,0.8601398601398602
100,random,63,0.8111888111888113
100,random,64,0.5384615384615385
100,random,65,0.7622377622377624
100,random,66,0.8811188811188813
100,random,67,0.8461538461538463
100,random,68,0.8181818181818183
100,random,69,0.9020979020979022
100,random,70,0.9510489510489512
100,random,71,0.5314685314685316
100,random,72,0.8041958041958043
100,random,73,0.8251748251748254
100,random,74,0.4895104895104896
100,random,75,0.9510489510489512
100,random,76,0.5594405594405596
100,random,77,0.7272727272727274
100,random,78,0.7692307692307694
100,random,79,0.6503496503496504
100,random,80,0.8601398601398602
100,random,81,0.5734265734265735
100,random,82,0.8811188811188813
100,random,83,0.8951048951048951
100,random,84,0.8531468531468532
100,random,85,0.7482517482517484
100,random,86,0.9370629370629372
100,random,87,0.7482517482517484
100,random,88,0.8461538461538463
100,random,89,0.8601398601398602
100,random,90,0.7132867132867133
100,random,91,0.7552447552447553
100,random,92,0.9370629370629372
100,random,93,0.7412587412587414
100,random,94,0.7762237762237763
100,random,95,0.8741258741258742
100,random,96,0.32867132867132864
100,random,97,0.8741258741258742
100,random,98,0.9230769230769231
100,random,99,0.9090909090909092
200,top_discrimination,0,0.4545454545454546
200,fisher_info_at_mean,0,0.6783216783216784
200,random,0,0.9440559440559443
200,random,1,0.965034965034965
200,random,2,0.7622377622377624
200,random,3,0.4895104895104896
200,random,4,0.9370629370629372
200,random,5,0.9160839160839163
200,random,6,0.9090909090909092
200,random,7,0.9160839160839163
200,random,8,0.7762237762237763
200,random,9,0.7972027972027973
200,random,10,0.8741258741258742
200,random,11,0.9510489510489512
200,random,12,0.8461538461538463
200,random,13,0.5524475524475525
200,random,14,0.49650349650349657
200,random,15,0.8251748251748254
200,random,16,0.9020979020979022
200,random,17,0.7412587412587414
200,random,18,0.9230769230769231
200,random,19,0.8671328671328673
200,random,20,0.8531468531468532
200,random,21,0.7552447552447553
200,random,22,0.9510489510489512
200,random,23,0.9370629370629372
200,random,24,0.9160839160839163
200,random,25,0.7202797202797203
200,random,26,0.8951048951048951
200,random,27,0.5454545454545455
200,random,28,0.6713286713286714
200,random,29,0.5384615384615385
200,random,30,0.9230769230769231
200,random,31,0.5874125874125874
200,random,32,0.8181818181818183
200,random,33,0.8461538461538463
200,random,34,0.8111888111888113
200,random,35,0.7622377622377624
200,random,36,0.6993006993006995
200,random,37,0.6643356643356644
200,random,38,0.965034965034965
